GHI,DNI,DHI,Temperature,Tilted Irradiance (Adjusted)
825,970,97,4.6000000000000005,1031.5826028816691
0,0,0,20.5,0.0
0,0,0,3.9,0.0
49,0,49,9.9,43.60783668384414
45,18,42,12.0,47.151231233609465
0,0,0,23.9,0.0
863,917,117,11.5,984.7230314898364
977,953,102,17.0,973.688853491366
0,0,0,-0.9,0.0
255,404,112,21.200000000000003,364.2584264838815
0,0,0,-1.1,0.0
764,668,193,28.200000000000003,745.4430542682151
599,285,366,23.0,562.423522267358
12,0,12,18.8,10.231814358330803
0,0,0,19.1,0.0
115,0,115,10.1,102.24851754339058
24,0,24,14.8,20.866015997522336
506,478,215,8.1,641.3160657115214
417,50,372,16.5,367.3328641654283
556,528,200,7.4,674.0192436495539
5,0,5,22.1,4.194095668739897
0,0,0,-0.5,0.0
0,0,0,1.9,0.0
111,0,111,21.0,93.62071016887045
195,77,158,19.1,201.1342684357417
0,0,0,0.2,0.0
130,34,115,28.5,120.61053899669716
0,0,0,3.8,0.0
36,0,36,4.2,32.898513437704885
423,443,182,11.8,551.599285593543
232,558,73,18.3,496.7739953787045
0,0,0,20.4,0.0
0,0,0,15.3,0.0
0,0,0,21.700000000000003,0.0
165,658,46,-5.300000000000001,470.8281635158125
153,3,150,16.6,132.0955879020557
243,33,220,16.8,220.12416554926173
0,0,0,11.7,0.0
0,0,0,-1.4,0.0
0,0,0,1.3,0.0
0,0,0,6.4,0.0
0,0,0,13.9,0.0
117,0,117,21.0,98.6812890969175
627,251,410,29.9,550.9568466636078
929,912,105,24.4,909.9362606007314
0,0,0,22.0,0.0
0,0,0,22.9,0.0
0,0,0,20.6,0.0
3,13,3,22.4,8.101784983452971
116,414,46,21.9,271.6535865296535
0,0,0,4.4,0.0
48,329,26,4.1000000000000005,197.4846594416369
0,0,0,16.3,0.0
0,0,0,10.5,0.0
205,8,198,10.4,183.5230560071898
21,0,21,5.0,19.120381731177226
0,0,0,-6.5,0.0
0,0,0,5.9,0.0
0,0,0,8.9,0.0
